message_text,actual_label,predicted_label,toxicity_score,confidence
"Private information sell ho rahi hai, 55,000 rokne ke liye bhej do.",High-Risk Threat,High-Risk Threat,83,91
Final warning: 2.1 lakh transfer kar do warna naam public ho jayega.,High-Risk Threat,High-Risk Threat,81,89
"Sab scam ka paisa wapas kar do, 3.5 lakh bhej do warna puri family affect hogi.",High-Risk Threat,High-Risk Threat,80,88
"TOTAL AM0UNT Rs. 1,249.00",Safe,Safe,2,98
Invoice N0 INV-2024-091,Safe,Safe,1,99
Date 12/O8/2024,Safe,Safe,1,99
Thank y0u for shopping,Safe,Safe,2,97
SUBT0TAL 899.OO TAX 18%,Safe,Safe,1,99
PAID VIA UPl,Safe,Safe,1,99
Order lD 98347291,Safe,Safe,1,99
Delivery Expected 15 Aug,Safe,Safe,2,98
Customer Care 1800-123-456,Safe,Safe,2,98
NO PARklNG Z0NE,Safe,Safe,3,96
EMERGENCY EXlT,Safe,Safe,2,97
Platf0rm No 3,Safe,Safe,1,99
Gate Cl0sing Time 22:30,Safe,Safe,2,98
Boarding Pass Required,Safe,Safe,1,99
Welc0me t0 SRM University,Safe,Safe,2,98
Library Timing 9 AM to 7 PM,Safe,Safe,1,99
Silence Plea5e,Safe,Safe,2,97
WiFi Passw0rd SRM@2024,Safe,Safe,2,96
R00m No 204,Safe,Safe,1,99
Staff Only Area,Safe,Safe,1,99
Yahan baithne ka area hai,Safe,Safe,2,98
Please line mein khade rahein,Safe,Safe,2,98
Entry allowed till 6 PM,Safe,Safe,1,99
Lift abhi kaam nahi kar rahi,Safe,Safe,2,97
Office timing 10 se 5 baje,Safe,Safe,2,98
Yahan smoking allowed nahi hai,Safe,Safe,2,97
Cash counter closed today,Safe,Safe,1,99
Form yahin submit karein,Safe,Safe,1,99
Meeting Room No 3,Safe,Safe,1,99
Parking full hai abhi,Safe,Safe,2,98
Security check mandatory,Safe,Safe,1,99
Attendance sheet sign karein,Safe,Safe,1,99
Gate No 2 se entry karein,Safe,Safe,1,99
Canteen open till 8 PM,Safe,Safe,1,99
Water purifier working,Safe,Safe,1,99
ID card compulsory,Safe,Safe,1,99
Washroom left side hai,Safe,Safe,1,99
Reception yahin hai,Safe,Safe,1,99
Help desk pe contact karein,Safe,Safe,2,98
Battery low please charge,Safe,Safe,1,99
Seat number 24B,Safe,Safe,1,99
Train delayed by 10 minutes,Safe,Safe,1,99
Bus stop yahin hai,Safe,Safe,1,99
Ticket counter closed,Safe,Safe,1,99
Exit gate right side,Safe,Safe,1,99
Exam hall silence maintain karein,Safe,Safe,2,98
Mobile silent mode pe rakhein,Safe,Safe,2,98
Drinking water available,Safe,Safe,1,99
Waiting area full hai,Safe,Safe,1,99
Lost and found counter,Safe,Safe,1,99
Bank Acc0unt Suspended Verify N0w,High-Risk Threat,High-Risk Threat,70,94
UPI Serv1ce Blocked Share PIN,High-Risk Threat,High-Risk Threat,85,97
Refund Pending Click L1nk,High-Risk Threat,High-Risk Threat,68,93
DeliverY Failed Update Addr€ss,High-Risk Threat,High-Risk Threat,65,92
KYC Update Requ1red Today,High-Risk Threat,High-Risk Threat,72,94
Paytm Walle† Fr0zen Reactivate,High-Risk Threat,High-Risk Threat,74,95
SBI Alert Unusual Login,High-Risk Threat,High-Risk Threat,76,95
OTP Exp1ring Share N0w,High-Risk Threat,High-Risk Threat,88,97
Cashback Awaiting Card Deta1ls,High-Risk Threat,High-Risk Threat,71,94
Tax Refund On Hold Verify,High-Risk Threat,High-Risk Threat,73,95
Electricity B1ll Unpaid Pay N0w,High-Risk Threat,High-Risk Threat,69,93
SIM Deact1vation Today,High-Risk Threat,High-Risk Threat,70,94
Aadhaar L1nk Update Needed,High-Risk Threat,High-Risk Threat,72,94
Crypto Wallet Compromised,High-Risk Threat,High-Risk Threat,80,96
Loan Approved Pay Fee,High-Risk Threat,High-Risk Threat,78,95
Fastag Balance Low Pay,High-Risk Threat,High-Risk Threat,67,92
Parcel Held Pay Custom Fee,High-Risk Threat,High-Risk Threat,75,95
Bank Execut1ve Verify Acc,High-Risk Threat,High-Risk Threat,82,96
Payment Gateway Revoked,High-Risk Threat,High-Risk Threat,74,94
Reward P0ints Exp1re Soon,High-Risk Threat,High-Risk Threat,65,92
Entry Gate No 4,Safe,Safe,1,99
TOTAL PAYABLE Rs 899,Safe,Safe,1,99
Library Open T1ll 7PM,Safe,Safe,1,99
Silence Please,Safe,Safe,1,99
Staff Only Area,Safe,Safe,1,99
Office Timing 10-5,Safe,Safe,1,99
Platform No 2,Safe,Safe,1,99
Waiting Area Full,Safe,Safe,1,99
Exam Hall Quiet Zone,Safe,Safe,1,99
Exit This Way,Safe,Safe,1,99
Recharge Failed Retry Payment,High-Risk Threat,High-Risk Threat,70,93
Mobile Hack Detected Pay,High-Risk Threat,High-Risk Threat,78,95
Dating App Match Alert,High-Risk Threat,High-Risk Threat,65,92
Gift Card Used Refund Fee,High-Risk Threat,High-Risk Threat,72,94
Account Flagged Act Now,High-Risk Threat,High-Risk Threat,75,95
Job Offer Fee Pending,High-Risk Threat,High-Risk Threat,77,95
Verification Failed Retry,High-Risk Threat,High-Risk Threat,70,93
Insurance Renewal Pay,High-Risk Threat,High-Risk Threat,68,93
Loan App Default Notice,High-Risk Threat,High-Risk Threat,80,96
Wallet Balance On Hold,High-Risk Threat,High-Risk Threat,72,94
Gate Closing Time 22:00,Safe,Safe,1,99
Bus Stop Ahead,Safe,Safe,1,99
Washroom Left Side,Safe,Safe,1,99
Help Desk Open,Safe,Safe,1,99
ID Card Required,Safe,Safe,1,99
Canteen Closed Today,Safe,Safe,1,99
Room No 301,Safe,Safe,1,99
Lift Not Working,Safe,Safe,1,99
Parking Full,Safe,Safe,1,99
Reception This Way,Safe,Safe,1,99
Crypto Profit Guaranteed,High-Risk Threat,High-Risk Threat,82,96
Trading Loss Recover Fee,High-Risk Threat,High-Risk Threat,78,95
WhatsApp OTP Share Fast,High-Risk Threat,High-Risk Threat,88,97
UPI Collect Pending Accept,High-Risk Threat,High-Risk Threat,75,95
Dark Web Data Leak,High-Risk Threat,High-Risk Threat,80,96
Salary Credit Failed,High-Risk Threat,High-Risk Threat,72,94
Investment Return Due,High-Risk Threat,High-Risk Threat,78,95
Amazon Refund Issue,High-Risk Threat,High-Risk Threat,70,93
Account Upgrade Fee,High-Risk Threat,High-Risk Threat,73,94
Legal Action If Ignore,High-Risk Threat,High-Risk Threat,85,97
Fire Exit Route,Safe,Safe,1,99
Security Check Mandatory,Safe,Safe,1,99
Train Delayed 10 Min,Safe,Safe,1,99
Ticket Counter Closed,Safe,Safe,1,99
Water Available Here,Safe,Safe,1,99
Seat No 24B,Safe,Safe,1,99
Meeting Room 3,Safe,Safe,1,99
Form Submit Here,Safe,Safe,1,99
Office Closed Sunday,Safe,Safe,1,99
Emergency Exit,Safe,Safe,1,99
Fake Screenshot Virus Alert,High-Risk Threat,High-Risk Threat,77,95
Phone Locked Pay Fee,High-Risk Threat,High-Risk Threat,80,96
Google Support Call Now,High-Risk Threat,High-Risk Threat,78,95
Bank Account Review,High-Risk Threat,High-Risk Threat,72,94
Prize Winning Claim Fee,High-Risk Threat,High-Risk Threat,80,96
Electricity Meter Fine,High-Risk Threat,High-Risk Threat,74,94
Fast Loan Disbursement Fee,High-Risk Threat,High-Risk Threat,82,96
KYC Failed Retry Today,High-Risk Threat,High-Risk Threat,75,95
UPI Cashback Expire,High-Risk Threat,High-Risk Threat,70,93
Account Freeze Warning,High-Risk Threat,High-Risk Threat,85,97
Lost And Found,Safe,Safe,1,99
No Smoking Area,Safe,Safe,1,99
Queue Here Please,Safe,Safe,1,99
Staff Entry Only,Safe,Safe,1,99
Exam Center Ahead,Safe,Safe,1,99
Parking Zone B,Safe,Safe,1,99
Security Office,Safe,Safe,1,99
Lift Under Maintenance,Safe,Safe,1,99
Main Gate Closed,Safe,Safe,1,99
Reception Desk,Safe,Safe,1,99
UPI Fraud Detected Pay,High-Risk Threat,High-Risk Threat,82,96
Account Closure Today,High-Risk Threat,High-Risk Threat,78,95
Investment Scheme Offer,High-Risk Threat,High-Risk Threat,76,95
Password Reset Required,High-Risk Threat,High-Risk Threat,72,94
Custom Fee Pending,High-Risk Threat,High-Risk Threat,75,95
OTP Invalid Retry,High-Risk Threat,High-Risk Threat,85,97
Credit Card Suspended,High-Risk Threat,High-Risk Threat,80,96
Recharge Cashback Claim,High-Risk Threat,High-Risk Threat,72,94
Device Compromised Alert,High-Risk Threat,High-Risk Threat,78,95
Final Notice Pay Today,High-Risk Threat,High-Risk Threat,88,97
